Date,Entreprise,Indice,Valeur,Volume
2000-11-15,Herpès Local,HER,43.59318923950195,70647
2000-11-15,Kenji,KEN,10.325450897216797,2094000
2000-11-15,L'Ofalso,LOF,61.00529479980469,859658
2000-11-15,LVMHASH,LVM,51.402069091796875,905296
2000-11-15,Leonard,LEO,5.538708686828613,272576
2000-11-15,Lepetit,LEP,9.862552265061092,0
2000-11-15,Mandarine,MAN,27.785945892333984,2518689
2000-11-15,Micheline,MIC,3.9364798069000244,751076
2000-11-15,Milesios,MIL,30.008081436157227,175976
2000-11-15,Padaccor,PAD,4.674263000488281,454567
2000-11-15,Paindépice Groupe,PAI,21.02579116821289,723342
2000-11-15,Paris-Barque,PAR,14.624882698059082,4484310
2000-11-15,Pinot-Pinard,PP,12.638591766357422,196109
2000-11-15,Pouic,POU,15.128259658813477,490083
2000-11-15,Prêt Industriel,PRE,-52.867235528869074,0
2000-11-15,STMicrofibres,STM,20.540189172894177,0
2000-11-15,Saint-Gobelin,SAG,18.258739471435547,605648
2000-11-15,Sanufo,SAN,28.646093368530273,1288642
2000-11-15,Schneider Electric,SCH,17.439895629882812,1123332
2000-11-15,Société générale,SOG,22.09404945373535,1351647
2000-11-15,True Office,TRU,3.6455879987452713,0
2000-11-15,Tréneau,TRE,29.877368927001953,633546
2000-11-15,URW,URW,6.550187096658784,0
2000-11-15,Vélo là,VEL,15.988723754882812,136792
2000-11-16,Airtaxi,AIR,15.78832875248664,0
2000-11-16,ArcelOrbital,ARC,25.45537882219813,0
2000-11-16,Atlantis,ATL,12.497249078900563,0
2000-11-16,Bearing,BEA,90.17804718017578,149704
2000-11-16,CURCUMA,CUR,29.809877395629883,1313550
2000-11-16,Capverseau,CAP,112.0508804321289,387792
2000-11-16,Cil Exotica,CIL,11.020203590393066,3990063
2000-11-16,Croisement,CRO,35.8586540222168,1799573
2000-11-16,Dantwo,DAN,20.246747970581055,1060319
2000-11-16,Default Systèmes,DEF,6.722803592681885,1172440
2000-11-16,Desaxa,DES,6.959095001220703,10056657
2000-11-16,Eau gazeuse,EGA,13.530858039855957,926877
2000-11-16,Edenbread,EDE,7.4963657523325535,0
2000-11-16,Eurobefore,AUB,5.169856165402934,0
2000-11-16,Eurofins Analyse,EUA,2.778203248977661,101220
2000-11-16,FDP,FDP,12.00040340423584,4687620
2000-11-16,Herpès Local,HER,44.058509826660156,109668
2000-11-16,Kenji,KEN,10.331006050109863,2388500
2000-11-16,L'Ofalso,LOF,62.48667907714844,1529750
2000-11-16,LVMHASH,LVM,51.0886344909668,697629
2000-11-16,Leonard,LEO,5.514693260192871,416457
2000-11-16,Lepetit,LEP,9.874253017320477,0
2000-11-16,Mandarine,MAN,26.997514724731445,1876012
2000-11-16,Micheline,MIC,3.8078737258911133,1507791
2000-11-16,Milesios,MIL,29.0078125,227294
2000-11-16,Padaccor,PAD,4.654288291931152,576814
2000-11-16,Paindépice Groupe,PAI,21.11471939086914,430145
2000-11-16,Paris-Barque,PAR,13.780280113220215,21013067
2000-11-16,Pinot-Pinard,PP,13.078198432922363,285920
2000-11-16,Pouic,POU,15.24583911895752,577953
2000-11-16,Prêt Industriel,PRE,-52.929956253579775,0
2000-11-16,STMicrofibres,STM,20.564557678977977,0
2000-11-16,Saint-Gobelin,SAG,18.258739471435547,605660
2000-11-16,Sanufo,SAN,28.646093368530273,973182
2000-11-16,Schneider Electric,SCH,17.500835418701172,438994
2000-11-16,Société générale,SOG,22.83109474182129,2750438
2000-11-16,True Office,TRU,3.649913057905081,0
2000-11-16,Tréneau,TRE,29.282928466796875,960806
2000-11-16,URW,URW,6.557958119251194,0
2000-11-16,Vélo là,VEL,16.801713943481445,482596
2000-11-17,Airtaxi,AIR,15.55600157881044,0
2000-11-17,ArcelOrbital,ARC,25.08079983354572,0
2000-11-17,Atlantis,ATL,12.313350542029065,0
2000-11-17,Bearing,BEA,88.997802734375,161163
2000-11-17,CURCUMA,CUR,28.616619110107422,758800
2000-11-17,Capverseau,CAP,108.77278900146484,315562
2000-11-17,Cil Exotica,CIL,10.820539474487305,3456698
2000-11-17,Croisement,CRO,34.858524322509766,1653161
2000-11-17,Dantwo,DAN,19.79096221923828,865230
2000-11-17,Default Systèmes,DEF,6.5792412757873535,3127660
2000-11-17,Desaxa,DES,6.959095001220703,12407209
2000-11-17,Eau gazeuse,EGA,13.474712371826172,1031134
2000-11-17,Edenbread,EDE,7.386055820522438,0
2000-11-17,Eurobefore,AUB,5.093781104511428,0
2000-11-17,Eurofins Analyse,EUA,2.687788248062134,76480
2000-11-17,FDP,FDP,11.778703689575195,4893952
2000-11-17,Herpès Local,HER,42.491111755371094,30486
2000-11-17,Kenji,KEN,10.214426040649414,3483000
2000-11-17,L'Ofalso,LOF,60.60130310058594,941626
2000-11-17,LVMHASH,LVM,50.46177291870117,540267
2000-11-17,Leonard,LEO,5.4954752922058105,1013407
2000-11-17,Lepetit,LEP,9.728952185823893,0
2000-11-17,Mandarine,MAN,25.826820373535156,1866181
2000-11-17,Micheline,MIC,3.8022806644439697,2411480
2000-11-17,Milesios,MIL,28.42479705810547,166874
2000-11-17,Padaccor,PAD,4.715213775634766,1340725
2000-11-17,Paindépice Groupe,PAI,20.564485549926758,213062
2000-11-17,Paris-Barque,PAR,13.765467643737793,12281425
2000-11-17,Pinot-Pinard,PP,13.297999382019043,646718
2000-11-17,Pouic,POU,14.840849876403809,504593
2000-11-17,Prêt Industriel,PRE,-52.151085523689375,0
2000-11-17,STMicrofibres,STM,20.26194771700175,0
2000-11-17,Saint-Gobelin,SAG,18.057180404663086,424636
2000-11-17,Sanufo,SAN,28.457902908325195,1576178
2000-11-17,Schneider Electric,SCH,17.781131744384766,633390
2000-11-17,Société générale,SOG,22.779674530029297,1194410
2000-11-17,True Office,TRU,3.5962041443018355,0
2000-11-17,Tréneau,TRE,28.843544006347656,444447
2000-11-17,URW,URW,6.461456969647722,0
2000-11-17,Vélo là,VEL,16.772804260253906,256623
2000-11-20,Airtaxi,AIR,15.248012644470121,0
2000-11-20,ArcelOrbital,ARC,24.584232076464836,0
2000-11-20,Atlantis,ATL,12.06956195070081,0
2000-11-20,Bearing,BEA,87.51160430908203,153618
2000-11-20,CURCUMA,CUR,28.36468505859375,1397825
2000-11-20,Capverseau,CAP,105.5542984008789,593604
2000-11-20,Cil Exotica,CIL,10.595111846923828,4004166
2000-11-20,Croisement,CRO,33.41929244995117,1635797
2000-11-20,Dantwo,DAN,19.359159469604492,3416352
2000-11-20,Default Systèmes,DEF,6.456188201904297,3172990
2000-11-20,Desaxa,DES,6.87474250793457,8766645
2000-11-20,Eau gazeuse,EGA,13.474712371826172,1355596
2000-11-20,Edenbread,EDE,7.239821362418535,0
2000-11-20,Eurobefore,AUB,4.992930753848164,0
2000-11-20,Eurofins Analyse,EUA,2.4494218826293945,287460
2000-11-20,FDP,FDP,11.79300594329834,4180824
2000-11-20,Herpès Local,HER,41.633941650390625,26379
2000-11-20,Kenji,KEN,9.964615821838379,1786500
2000-11-20,L'Ofalso,LOF,61.37565231323242,766821
2000-11-20,LVMHASH,LVM,49.61553192138672,501208
2000-11-20,Leonard,LEO,5.384990692138672,451090
2000-11-20,Lepetit,LEP,9.536331376371072,0
2000-11-20,Mandarine,MAN,24.775590896606445,3149050
2000-11-20,Micheline,MIC,3.7586669921875,1830858
2000-11-20,Milesios,MIL,27.624591827392578,108113
2000-11-20,Padaccor,PAD,4.623326301574707,723179
2000-11-20,Paindépice Groupe,PAI,20.508901596069336,423918
2000-11-20,Paris-Barque,PAR,13.617284774780273,6523119
2000-11-20,Pinot-Pinard,PP,13.05622386932373,168975
2000-11-20,Pouic,POU,13.66507625579834,1070272
2000-11-20,Prêt Industriel,PRE,-51.118560734220935,0
